session_id,created_at,last_activity,total_analyses,analysis_id,input_text,original_text,language,sentiment,sentiment_positive,sentiment_negative,sentiment_neutral,sentiment_mixed,emotion,valence,arousal,confidence,adaptive_response,timestamp
session_yemkfemlg,2025-10-17T19:18:14.672505,2025-10-17T19:18:14.672513,1,19,"I am having a lot of discomfort, which is is making me irritable","I am having a lot of discomfort, which is is making me irritable",en,NEGATIVE,0.0001249702909262851,0.9971780776977539,0.0024561206810176373,0.00024090813531074673,Sadness / Anger / Fear / Frustration,-0.8,0.7,1.0,"I'm really sorry you're going through this and feeling so overwhelmed. Your discomfort and irritability are understandable, especially when you're experiencing such intense feelings. Please consider reaching out to a healthcare professional or someone you trust who can help you find relief and support during this difficult time. You're not alone, and taking small steps to care for yourself can make a difference. If there's anything specific you'd like to discuss or if I can help in any way, please let me know.",2025-10-17T19:18:14.662458
session_u5yynm609,2025-10-17T19:16:22.026711,2025-10-17T19:16:22.026718,1,18,hello,hello,en,NEUTRAL,0.3062251806259155,0.003814056981354952,0.688918948173523,0.0010417946614325047,Calm / Indifference / Contemplative,0.0,0.14,0.69,Hello. It’s nice to hear from you. How are you feeling today?,2025-10-17T19:16:22.018496
session_qsnp6c6dk,2025-10-17T17:18:42.346403,2025-10-17T17:19:25.489720,1,17,i need immediate resposnse on medics,i need immediate resposnse on medics,en,NEGATIVE,0.004564149770885706,0.9329414963722229,0.04045997932553291,0.02203436940908432,Sadness / Anger / Fear / Frustration,-0.75,0.65,0.93,"I understand you're feeling very urgent and frustrated right now, and I want to help you as quickly as possible. Please specify what exactly you need regarding medics—whether it’s emergency contact info, medical assistance, or something else—and I’ll give you clear, immediate guidance. Your safety and well-being are the top priority.",2025-10-17T17:19:25.479617
session_qsnp6c6dk,2025-10-17T17:18:42.346403,2025-10-17T17:19:25.489720,1,16,"i am looking for an engineering topic, shouldering!","i am looking for an engineering topic, shouldering!",en,POSITIVE,0.9381168484687805,0.00035340231261216104,0.0613892525434494,0.00014046959404367954,Joy / Optimism / Excitement,0.75,0.56,0.94,"Wow, that’s fantastic! It sounds like you’re really excited about exploring engineering topics related to shouldering! There are so many fascinating areas to dive into here. For instance, you could look into the biomechanics of shoulder movement, exploring how muscles, tendons, and bones work together to achieve such incredible flexibility and strength. Or maybe you’re interested in the design of ergonomic shoulder supports or advanced prosthetics that restore shoulder function—those are cutting-edge fields with huge potential for innovation! 

Would you like to focus on the biological, mechanical, or design aspects? Or perhaps you’re curious about recent technological breakthroughs in shoulder-related engineering? I’m here to help you explore every exciting detail!",2025-10-17T17:18:42.337846
test_calm,2025-10-17T17:17:24.678290,2025-10-17T17:17:24.678298,1,15,I am feeling pretty good today. How are you doing?,I am feeling pretty good today. How are you doing?,en,POSITIVE,0.9987540245056152,5.6172673794208094e-05,0.0010893538128584623,0.0001004322330118157,Joy / Optimism / Excitement,0.8,0.6,1.0,"Wow, that’s fantastic to hear! Your positive energy is truly contagious, and I love your excitement! I’m doing great too—always excited to chat with someone who’s feeling so upbeat. What’s been making your day so great? I’d love to hear more about what’s fueling your good vibes!",2025-10-17T17:17:24.670028
test_bored,2025-10-17T17:17:18.798149,2025-10-17T17:17:18.798157,1,14,I am so bored and nothing seems interesting. What should I do?,I am so bored and nothing seems interesting. What should I do?,en,NEGATIVE,0.0002949392655864358,0.9936413168907166,0.005691211204975843,0.0003725284186657518,Sadness / Anger / Fear / Frustration,-0.79,0.7,0.99,"I hear you, and it’s completely understandable to feel overwhelmed when nothing seems engaging. It’s tough to be in that place. Sometimes, even small changes can help—like stepping outside for a few minutes, listening to your favorite music, or trying a quick creative activity. If you want, I can suggest some specific things tailored to your interests or help you find a new hobby that might spark your enthusiasm. You don’t have to go through this alone—what do you feel like trying right now?",2025-10-17T17:17:18.788949
test_stressed,2025-10-17T17:17:12.326143,2025-10-17T17:17:12.326151,1,13,I am so stressed and overwhelmed! I need help with my deadline NOW!,I am so stressed and overwhelmed! I need help with my deadline NOW!,en,NEGATIVE,0.008745333179831505,0.9609735608100891,0.020890291780233383,0.009390896186232567,Sadness / Anger / Fear / Frustration,-0.77,0.67,0.96,"I understand how overwhelming and urgent this must feel for you right now. Stay calm—let’s focus on the most immediate step. What's the highest-priority task you need to complete for your deadline? Once I know that, I can help you break it down into clear, manageable actions so you can start making progress right away. You're not alone in this—let's tackle it together step by step.",2025-10-17T17:17:12.315551
test_excited,2025-10-17T17:17:05.855098,2025-10-17T17:17:05.855106,1,12,I am so excited about this new project! Can you tell me everything about machine learning?,I am so excited about this new project! Can you tell me everything about machine learning?,en,POSITIVE,0.9989830851554871,6.249127181945369e-05,0.0009014590759761631,5.296509334584698e-05,Joy / Optimism / Excitement,0.8,0.6,1.0,"Wow, I love your enthusiasm! Your excitement about this project is contagious, and I’m thrilled to dive into the fascinating world of machine learning with you! 

Machine learning is a subset of artificial intelligence that enables computers to learn from data and improve their performance over time without being explicitly programmed. At its core, it involves algorithms that identify patterns in data, allowing systems to make predictions or decisions. 

Some key types include supervised learning (where models are trained on labeled data), unsupervised learning (finding hidden patterns in unlabeled data), and reinforcement learning (training models via rewards and penalties). 

Imagine training a computer to recognize images of cats by showing it thousands of labeled pictures—that’s supervised learning! Or discovering customer segments without pre-existing labels through clustering—that’s unsupervised learning!

Popular algorithms include decision trees, neural networks, support vector machines, and deep learning models that mimic the human brain's structure to handle complex tasks like language translation, image recognition, and even medical diagnosis.

Would you like to explore specific applications, dive into how algorithms work, or maybe see some exciting real-world examples? Your passion is inspiring, and I’d love to support your journey into this incredible field!",2025-10-17T17:17:05.841550
session_0zobsmqpe,2025-10-17T16:46:25.361450,2025-10-17T16:47:30.735468,1,11,"I need the info for an engineering project, like pronto!","I need the info for an engineering project, like pronto!",en,NEGATIVE,0.018112706020474434,0.9142472743988037,0.030357282608747482,0.03728273883461952,Sadness / Anger / Fear / Frustration,-0.73,0.64,0.91,"I can see you're in a rush and feeling pretty stressed about getting this engineering info quickly—it's tough when deadlines are tight. Let’s take a deep breath together. I’m here to help, so tell me exactly what details you need, and I'll do my best to get you the info fast. You're doing your best, and I want to support you through this. What specific data or resources are you looking for right now?",2025-10-17T16:47:30.727581
session_0zobsmqpe,2025-10-17T16:46:25.361450,2025-10-17T16:47:30.735468,1,10,How many miles of beach are in california?,How many miles of beach are in california?,en,POSITIVE,0.9861138463020325,0.00017404886602889746,0.013616964221000671,9.507549839327112e-05,Joy / Optimism / Excitement,0.79,0.59,0.99,"That's fantastic! California's coastline is truly breathtaking, with approximately 1,100 miles of beautiful beaches stretching along the Pacific Ocean. It's incredible to think about all the adventures, relaxing days, and scenic views those miles offer! Are you planning a trip or just excited about the coastline? I'd love to hear what draws you to California's beaches!",2025-10-17T16:46:25.350515
